"","id","cal_d13C","cal_d15N","cal_d34S","FA_C16_0","FA_C16_1","FA_C18_0","FA_C18_1","FA_C18_2n6","FA_C18_3n3","FA_C18_4n3","FA_C20_1","FA_C20_4n3","FA_C20_5n3","FA_C22_1","FA_C22_5n3","FA_C22_6n3","FA_C24_1"
"50","CA-5",-22.1564659063897,10.4581798091922,19.0366046808305,17.0759565962307,3.90253188654102,2.85551113649343,17.3424709689701,2.07500475918523,1.3896820864268,2.608033504664,17.5138016371597,1.19931467732724,6.33923472301542,9.91814201408719,1.0850942318675,7.91928421854179,0.571102227298687
"52","CA-6",-22.7712237506337,10.4039881487705,19.2002284836808,16.271186440678,2.86252354048964,3.35216572504708,13.4086629001883,1.65725047080979,1.16760828625235,1.65725047080979,17.6271186440678,1.01694915254237,5.38606403013183,11.7514124293785,1.43126177024482,13.8606403013183,1.16760828625235
"54","CA-7",-22.0924286309476,10.6598932118726,19.2867084362106,15.5108877721943,2.54606365159129,3.48408710217755,13.0653266331658,1.34003350083752,1.20603015075377,1.50753768844221,16.4489112227806,1.07202680067002,5.96314907872697,11.6917922948074,1.57453936348409,16.8844221105528,1.23953098827471
"56","CA-8",-22.2471032808615,10.4230555848448,18.8388838847312,13.9491485887567,2.72918124562631,2.93911826452064,13.9724749241894,1.46955913226032,1.16631677163518,1.51621180312573,20.1073011429904,1.04968509447166,5.15512013062748,13.8558432470259,1.44623279682762,12.6895264753907,1.23629577793329
"58","CA-9",-22.3948816088048,10.2253563792326,19.236767727822,14.0638049106397,2.60564556539168,3.24035410055119,13.74645064306,1.4197427760147,1.11909136462335,1.73709704359445,20.377484549858,1.05227993986972,5.6956739602472,12.6106564222482,1.30282278269584,13.4123935192918,0.985468515116085
"60","RS-1",-23.4391817929373,11.2911257008578,18.655849874876,15,3.46153846153846,3.07692307692308,19.5584045584046,1.90883190883191,1.22507122507123,2.25071225071225,14.4017094017094,1.11111111111111,6.73789173789174,12.8347578347578,1.65242165242165,9.4017094017094,0.954415954415955
"62","RS-10",-21.8612376467874,11.0603093694324,18.6115358142627,15.5652465615565,3.23716873532372,3.01912110030191,19.1714189869171,1.89533713518953,1.22442133512244,2.09661187520966,13.4350888963435,1.17410265011741,7.26266353572626,12.2106675612211,1.76115397517612,11.1372022811137,0.939282120093928
"64","RS-11",-22.6451195774554,11.8741878250238,18.399660372604,17.3990077958894,4.6243798724309,2.85258681785967,18.3557760453579,1.09851169383416,0.77958894401134,1.61233167965982,12.2785258681786,0.850460666194189,8.80581148121899,8.82352941176471,2.33876683203402,13.4479092841956,0.921332388377038
"66","RS-12",-21.4973745637627,10.8054078555974,18.3464533795984,17.5681716584712,3.97854269110416,3.48681269557443,18.4622261957979,1.07286544479213,0.715243629861422,1.6092981671882,11.3097898971837,0.894054537326777,9.65578900312919,7.8229772016093,2.1904336164506,15.0201162270899,0.894054537326777
"68","RS-13",-21.3978704896142,11.159660746872,18.2329592128027,16.7008985879332,5.37869062901155,2.36200256739409,19.9229781771502,1.3992297817715,0.821566110397946,1.45057766367137,14.6983311938382,0.872913992297817,8.39537869062901,10.1540436456996,2.16944801026958,8.6392811296534,0.86007702182285
"70","RS-14",-23.7790719472069,11.2148559565607,18.4232461806124,14.5414146401679,3.23416862115788,2.66633748919886,18.9112455252438,1.91334403160104,1.20972719417356,2.02444142698432,13.9612393531663,1.0739414887051,6.85100604863597,12.7885446241205,1.72818170596223,9.66547339834588,1.80224663621775
"72","RS-15",-21.8825834052681,11.2198737028961,18.2899210756267,15.9189854249479,5.01608934317623,2.44179443498012,19.9507855385198,1.2682188150672,0.832860117357562,1.36286201022147,15.3511262540223,0.870717395419269,7.83645655877342,10.8271815256483,2.13893621048647,9.21824720802574,0.946431951542684
"74","RS-16",-22.7071864751916,11.0813839040408,19.1577561940222,15.3449643140365,3.37034099920698,2.83505154639175,18.8739095955591,1.82394924662966,1.14988104678826,1.60586835844568,13.4615384615385,1.07057890563045,7.19666931007137,11.5979381443299,1.86360031720856,13.5011895321174,1.0904044409199
"76","RS-17",-21.9870134236814,10.8114291511998,18.701153727853,16.3089069824821,4.76190476190476,2.66469282013323,19.3436960276339,1.18430792005922,0.78953861337281,1.40636565507032,14.7051566740686,0.814211695040711,8.19146311374291,10.4367135455218,2.14655810510733,10.1159634838391,0.986923266716013
"78","RS-18",-22.6727048653382,10.963968639794,18.9983127724374,15.0598710469757,3.37734111145226,2.7018728891618,18.9898679766656,1.94964691433835,1.21277249002149,1.88824071231194,14.4611605772183,1.13601473748849,7.06171323303653,13.202333435677,1.79613140927234,10.1934295363832,0.997850782929076
"80","RS-19",-21.4185594555262,11.5410094683575,18.9824712127234,18.3006535947712,3.37690631808279,3.54030501089325,17.156862745098,1.03485838779956,0.762527233115469,1.30718954248366,9.640522875817,0.816993464052288,10.239651416122,6.64488017429194,2.2875816993464,18.7908496732026,1.03485838779956
"82","RS-2",-21.3515666135253,11.5470307639599,18.6411560084448,19.6212121212121,2.12121212121212,5.83333333333333,18.030303030303,0.984848484848485,0.53030303030303,2.12121212121212,5.37878787878788,0.757575757575758,10.7575757575758,3.40909090909091,1.89393939393939,20.9090909090909,1.89393939393939
