"region","id","d13C","d15N","d34S","FA_C16_0","FA_C16_1","FA_C18_0","FA_C18_1","FA_C18_2n6","FA_C18_3n3","FA_C18_4n3","FA_C20_1","FA_C20_4n3","FA_C20_5n3","FA_C22_1","FA_C22_5n3","FA_C22_6n3","FA_C24_1"
"CA","CA-27",-0.508829489739078,-1.5704953525422,0.560742000793965,-1.03473880410365,-0.734780914066316,-1.01139637647856,-1.0472973007723,-0.0772024737306312,0.710126735480535,-0.508831847313218,1.11070639358277,0.316024831636052,-0.950881891472133,1.3102371877648,-1.19952125969531,-0.236321543027342,1.05329780305383
"CA","CA-28",0.735932017432065,-1.58558033291709,1.37138989823774,-0.308891349272245,-0.900631347304166,-0.684318129614911,-1.29388074070625,-0.335048538225598,0.722973634932538,-0.467689069327377,0.286093450032166,0.538203310835617,-0.294606685800958,0.476721024361516,-0.863007121234392,0.844071621335908,0.518993568221285
"CA","CA-29",0.174013158905094,-0.731167044481184,1.36556839413252,-0.775160862265476,-1.11280264818974,-0.622815099797868,-1.37470960465133,-0.0761489109373248,1.40644400281292,-0.339603432249144,0.82488067962419,1.36646426160369,-0.772148352186529,0.826329989244987,-1.05689623789415,0.248624775653502,1.30503108202487
"CA","CA-3",0.636896509799042,-1.06967400409452,1.65993732695932,-0.940039995737772,-0.371976073057564,-0.843889114633159,-0.802916491428528,0.588494980771814,0.482836653171351,0.407683142256567,0.688984778394039,0.384921559259017,-0.473850149848165,1.20464564618374,-0.655681256661322,-0.295739759553174,0.747971574178073
"CA","CA-30",-0.869089089969616,-0.522994315307182,1.29612313337415,-1.04735354976619,-1.2096354261586,-0.653976947444133,-1.66647222760044,0.193261741445402,1.43658136071223,-0.449645495929234,1.24877901030214,1.10356199122166,-1.17454415016099,1.14803190030874,-1.17323156606825,0.0236010406816388,1.20311562030913
"CA","CA-4",0.190160252541007,-0.975543726554945,1.52135506549628,-0.711294608892977,-0.0301240522842935,-0.888271763886652,-0.543247017132497,0.145560514581541,0.737827434442026,0.623495080170732,0.589710353366033,0.400366190365,-0.393374353197079,0.952083874220501,-0.767991789296111,-0.421795646906853,0.346465523698705
"CA","CA-5",0.257978045811423,-1.08958617818936,0.505085148100627,0.403882026010343,0.815117636074721,-0.825703851369423,0.455854100110113,2.31047938363324,1.85439092300953,1.71489012049746,0.584284251304847,0.770472386239665,-0.464335134859786,-0.170641754209222,-1.58964536296857,-1.35255937357757,-2.16747089919934
"CA","CA-6",-0.41374104943918,-1.18733685101905,0.985503654505919,0.0235778214108187,-0.260362263072003,-0.308054202692527,-0.840441249303044,0.899670075127422,0.78066424580834,-0.271913403538807,0.607266112918546,-0.200186510388722,-1.02430371074534,0.381744769725892,-0.774326441748856,-0.121977935559443,0.743062649311162
"CA","CA-7",0.327948784900041,-0.725736451546213,1.2394188484121,-0.335710825640454,-0.58761564588242,-0.170556118312736,-0.953579765073075,-0.171611935628832,0.966433935301547,-0.584760681003785,0.368313455704303,0.092969826169616,-0.685277872834762,0.363780502906563,-0.436868650927725,0.504311705259717,1.09399527437585
"CA","CA-8",0.158942538178399,-1.15294309576416,-0.0754460942530529,-1.07373021397282,-0.398252462103658,-0.73856240246787,-0.654650053627813,0.26581257822117,0.774419773487151,-0.56663481946916,1.11027278881127,-0.0259461581584419,-1.15997859823446,1.01583519878977,-0.739065592911737,-0.364540561989235,1.07820970423142
